level_0,OD,u,qpt,Upt,Uc,Um,WT,phi,Ipt,qc,ttc,ttpt,budget,objective
0,12_16,0.0,31.16491571580769,0.0,0.0,0.0,0.08510756511151685,0.05569556644128659,0.0,0.0,0.0,0.0333,0,649.6691676307071
1,12_24,0.0,106.7800719777653,0.0,0.0,0.0,0.1359634260316375,0.88105867988169,0.0,0.0,0.0,0.05,0,649.6691676307071
2,13_16,0.03687069535649921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.04,0.03687069535649921,10.0,0,649.6691676307071
3,13_23,0.1137165782101841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.9,0.1137165782101841,10.0,0,649.6691676307071
4,13_24,0.01677138140094267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.58,0.01677138140094267,10.0,0,649.6691676307071
5,14_12,0.01330280214019376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.16491571580769,0.01330280214019376,10.0,0,649.6691676307071
6,14_16,0.07080769473759654,0.0,-3.1,-0.121242308421279,-0.1506522234637696,0.0,0.0,0.0,32.09508428419241,0.07080769473759654,10.0,0,649.6691676307071
7,14_23,0.1040774998617014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,584.14,0.1040774998617014,10.0,0,649.6691676307071
8,16_24,0.07427808875746257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.45,0.07427808875746257,10.0,0,649.6691676307071
9,1_24,0.09127444693115991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.84,0.09127444693115991,10.0,0,649.6691676307071
10,23_12,0.07164548028908233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.7800719777653,0.07164548028908233,10.0,0,649.6691676307071
11,23_13,0.1137165782101841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,370.59,0.1137165782101841,10.0,0,649.6691676307071
12,23_14,0.1040774998617014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.1040774998617014,10.0,0,649.6691676307071
13,23_24,0.1075478938815685,0.0,-3.1,-0.1322643681644705,-0.3534944078725538,0.0,0.0,0.0,133.2199280222347,0.1075478938815685,10.0,0,649.6691676307071
14,23_9,0.083312146955749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.73,0.083312146955749,10.0,0,649.6691676307071
15,24_16,0.07427808875746257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.06,0.07427808875746257,10.0,0,649.6691676307071
16,24_23,0.1075478938815674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,376.39,0.1075478938815674,10.0,0,649.6691676307071
17,3_13,0.05949906868538098,290.6200859127919,-1.079519529699438,-0.1178497206056143,0.0,0.1433324506558059,4.582548972513479,0.0,760.2799140872082,0.05949906868538098,0.0667,0,649.6691676307071
18,3_16,0.08870705457006736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.9,0.08870705457006736,10.0,0,649.6691676307071
19,3_23,0.1655529374237522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1356.3,0.1655529374237522,10.0,0,649.6691676307071
