index,u,qpt,Upt,Uc,Um,WT,phi,Ipt,qc,ttc,ttpt,budget,objective
12_16,0.0,63.26,0.0,0.0,0.0,0.08696908,0.116297484159344,10209.21871305458,0.0,0.0,0.0333,10000000,376.5958739458823
12_24,0.0,106.3487742778845,0.0,0.0,0.0,0.1357507120477022,0.8762642296639549,4.126248576320801e-06,0.0,0.0,0.05,10000000,376.5958739458823
13_16,0.0378079665683501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.04,0.0378079665683501,10.0,10000000,376.5958739458823
13_23,0.05926421593311368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.9,0.05926421593311368,10.0,10000000,376.5958739458823
13_24,0.0158114764550988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.58,0.0158114764550988,10.0,10000000,376.5958739458823
14_12,0.01290113508009216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.26,0.01290113508009216,10.0,10000000,376.5958739458823
14_16,0.04294003894521221,0.0,-3.1,-0.1128820116835637,1020.758660744102,0.0,0.0,0.0,0.0,0.04294003894521221,10.0,10000000,376.5958739458823
14_23,0.0505852844511422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,584.14,0.0505852844511422,10.0,10000000,376.5958739458823
16_24,0.04759238798644997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.45,0.04759238798644997,10.0,10000000,376.5958739458823
1_24,0.06765708366332623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.84,0.06765708366332623,10.0,10000000,376.5958739458823
23_12,0.04582908884490926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.3487742778845,0.04582908884490926,10.0,10000000,376.5958739458823
23_13,0.05926421593311368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,370.59,0.05926421593311368,10.0,10000000,376.5958739458823
23_14,0.0505852844511422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0505852844511422,10.0,10000000,376.5958739458823
23_24,0.05405592039167557,0.0,-3.1,-0.1162167761175027,-0.3447263735757168,0.0,0.0,0.0,133.6512257221155,0.05405592039167557,10.0,10000000,376.5958739458823
23_9,0.05749575580725177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.73,0.05749575580725177,10.0,10000000,376.5958739458823
24_16,0.04759238798644997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.06,0.04759238798644997,10.0,10000000,376.5958739458823
24_23,0.05405592039167556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,376.39,0.05405592039167556,10.0,10000000,376.5958739458823
3_13,0.01884672366199228,1050.9,64.62132795285778,-0.1056540170985977,0.0,0.5182989053254438,500.8710405055521,1650.710357255542,0.0,0.01884672366199228,0.0667,10000000,376.5958739458823
3_16,0.06698686745992846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1050.9,0.06698686745992846,10.0,10000000,376.5958739458823
3_23,0.08844311682469205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,356.3,0.08844311682469205,10.0,10000000,376.5958739458823
3_24,0.04499037734667716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1050.9,0.04499037734667716,10.0,10000000,376.5958739458823
8_24,0.05165706150060921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.2,0.05165706150060921,10.0,10000000,376.5958739458823
9_13,0.0276114994611425,34.01431648563471,-0.1646231199455475,-0.1082834498383428,0.0,0.01677569987619913,0.2229526563609863,1.212895095336965e-06,35.98568351436529,0.0276114994611425,0.05,10000000,376.5958739458823
