level_0,OD,u,qpt,Upt,Uc,Um,WT,phi,Ipt,qc,ttc,ttpt,budget,objective
0,12_16,0.0,1505.548779441302,0.0,0.0,0.0,0.1706218292075955,12.71301940882432,0.0,0.0,0.0,0.0333,0,196660.582777961
1,12_24,0.0,451.791808232488,0.0,0.0,0.0,0.3061215811608158,13.48805199009097,0.0,0.0,0.0,0.05,0,196660.582777961
2,13_16,0.1449539002105005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.04,0.1449539002105005,10.0,0,196660.582777961
3,13_23,14.11213804301896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,14.11213804301896,10.0,0,196660.582777961
4,13_24,0.1421588587018249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.58,0.1421588587018249,10.0,0,196660.582777961
5,14_12,0.1249206995134706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1505.548779441302,0.1249206995134706,10.0,0,196660.582777961
6,14_16,8.828850155720856,0.0,-3.1,-2.748655046716257,-2.741256640381184,0.0,0.0,0.0,1494.451220558698,8.828850155720856,10.0,0,196660.582777961
7,14_23,14.06058168462572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,14.06058168462572,10.0,0,196660.582777961
8,16_24,8.79234442557677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,8.79234442557677,10.0,0,196660.582777961
9,1_24,0.4827899395695939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.4827899395695939,10.0,0,196660.582777961
10,23_12,5.320698560983209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,451.791808232488,5.320698560983209,10.0,0,196660.582777961
11,23_13,14.11213804301896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,14.11213804301896,10.0,0,196660.582777961
12,23_14,14.06058168462572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,14.06058168462572,10.0,0,196660.582777961
13,23_24,14.02407595448164,0.0,-3.1,-4.307222786344491,-4.500656440661401,0.0,0.0,0.0,548.2081917675121,14.02407595448164,10.0,0,196660.582777961
14,23_9,5.333485828144073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,5.333485828144073,10.0,0,196660.582777961
15,24_16,8.79234442557677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,8.79234442557677,10.0,0,196660.582777961
16,24_23,14.02407595448164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,14.02407595448164,10.0,0,196660.582777961
17,3_13,0.3558699456545141,292.306751591727,-1.090967948534692,-0.2067609836963542,0.0,0.1441643061844405,4.638543283396801,0.0,707.693248408273,0.3558699456545141,0.0667,0,196660.582777961
18,3_16,0.4608083083149712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.4608083083149712,10.0,0,196660.582777961
19,3_23,14.42799245112343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,14.42799245112343,10.0,0,196660.582777961
20,3_24,0.4580132668062956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.4580132668062956,10.0,0,196660.582777961
21,8_24,0.4646799509602276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.2,0.4646799509602276,10.0,0,196660.582777961
22,9_13,0.09825283180466407,194.9076505392741,-0.5775645060278136,-0.1294758495413992,0.0,0.09612753060620409,2.168631234229762,0.0,305.0923494607259,0.09825283180466407,0.05,0,196660.582777961
0,12_16,0.0,1505.558495355192,0.0,0.0,0.0,0.1706223927306011,12.71325112298327,0.0006641929945563781,0.0,0.0,0.0333,1,196660.1747750746
1,12_24,0.0,451.7914932666612,0.0,0.0,0.0,0.306121425821161,13.48802498868848,0.0,0.0,0.0,0.05,1,196660.1747750746
2,13_16,0.1449536616503459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.04,0.1449536616503459,10.0,1,196660.1747750746
3,13_23,14.11211575845058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,14.11211575845058,10.0,1,196660.1747750746
4,13_24,0.1421590537158011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.58,0.1421590537158011,10.0,1,196660.1747750746
5,14_12,0.1249209962664717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1505.558495355192,0.1249209962664717,10.0,1,196660.1747750746
6,14_16,8.828827276869447,0.0,-3.1,-2.748648183060834,-2.741236821996323,0.0,0.0,0.0,1494.441504644808,8.828827276869447,10.0,1,196660.1747750746
7,14_23,14.0605592094617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,14.0605592094617,10.0,1,196660.1747750746
8,16_24,8.792321551143687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,8.792321551143687,10.0,1,196660.1747750746
9,1_24,0.482790134621648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.482790134621648,10.0,1,196660.1747750746
10,23_12,5.320698498353357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,451.7914932666612,5.320698498353357,10.0,1,196660.1747750746
11,23_13,14.11211575845058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,14.11211575845058,10.0,1,196660.1747750746
12,23_14,14.0605592094617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,14.0605592094617,10.0,1,196660.1747750746
13,23_24,14.02405348373594,0.0,-3.1,-4.307216045120781,-4.500650971122807,0.0,0.0,0.0,548.2085067333387,14.02405348373594,10.0,1,196660.1747750746
14,23_9,5.333485765499914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,5.333485765499914,10.0,1,196660.1747750746
15,24_16,8.792321551143687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,8.792321551143687,10.0,1,196660.1747750746
16,24_23,14.02405348373594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,14.02405348373594,10.0,1,196660.1747750746
17,3_13,0.3558699456117667,292.306751602383,-1.090967948470356,-0.20676098368353,0.0,0.144164306189696,4.63854328375233,0.0,707.6932483976169,0.3558699456117667,0.0667,1,196660.1747750746
18,3_16,0.4608080697928945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.4608080697928945,10.0,1,196660.1747750746
19,3_23,14.42797016659313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,14.42797016659313,10.0,1,196660.1747750746
20,3_24,0.4580134618583497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.4580134618583497,10.0,1,196660.1747750746
21,8_24,0.4646801460122817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.2,0.4646801460122817,10.0,1,196660.1747750746
22,9_13,0.09825293775423385,194.90765313745,-0.5775645159663968,-0.1294758813262702,0.0,0.09612753188761214,2.168631282943734,0.0,305.09234686255,0.09825293775423385,0.05,1,196660.1747750746
0,12_16,0.0,1505.568211237438,0.0,0.0,0.0,0.1706229562517714,12.71348284030289,0.001328390230259255,0.0,0.0,0.0333,2,196659.76678252566
1,12_24,0.0,451.7911781203289,0.0,0.0,0.0,0.3061212703924817,13.48799797186196,0.0,0.0,0.0,0.05,2,196659.76678252566
2,13_16,0.1449534230945612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.04,0.1449534230945612,10.0,2,196659.76678252566
3,13_23,14.1120934744339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,14.1120934744339,10.0,2,196659.76678252566
4,13_24,0.1421592487332132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.58,0.1421592487332132,10.0,2,196659.76678252566
5,14_12,0.1249212930203884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1505.568211237438,0.1249212930203884,10.0,2,196659.76678252566
6,14_16,8.82880439857195,0.0,-3.1,-2.748641319571585,-2.741217003819205,0.0,0.0,0.0,1494.431788762562,8.82880439857195,10.0,2,196659.76678252566
7,14_23,14.06053673484845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,14.06053673484845,10.0,2,196659.76678252566
8,16_24,8.792298677267048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,8.792298677267048,10.0,2,196659.76678252566
9,1_24,0.4827903296794181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.4827903296794181,10.0,2,196659.76678252566
10,23_12,5.320698435722065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,451.7911781203289,5.320698435722065,10.0,2,196659.76678252566
11,23_13,14.1120934744339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,14.1120934744339,10.0,2,196659.76678252566
12,23_14,14.06053673484845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,14.06053673484845,10.0,2,196659.76678252566
13,23_24,14.02403101354355,0.0,-3.1,-4.307209304063065,-4.500645502479168,0.0,0.0,0.0,548.2088218796712,14.02403101354355,10.0,2,196659.76678252566
14,23_9,5.333485702854246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,5.333485702854246,10.0,2,196659.76678252566
15,24_16,8.792298677267048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,8.792298677267048,10.0,2,196659.76678252566
16,24_23,14.02403101354355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,14.02403101354355,10.0,2,196659.76678252566
17,3_13,0.3558699455721812,292.3067516006209,-1.090967948466999,-0.2067609836716544,0.0,0.1441643061888269,4.638543283693537,0.0,707.6932483993792,0.3558699455721812,0.0667,2,196659.76678252566
18,3_16,0.4608078312774679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.4608078312774679,10.0,2,196659.76678252566
19,3_23,14.4279478826168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,14.4279478826168,10.0,2,196659.76678252566
20,3_24,0.4580136569161198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.4580136569161198,10.0,2,196659.76678252566
21,8_24,0.4646803410700518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.2,0.4646803410700518,10.0,2,196659.76678252566
22,9_13,0.09825304370552504,194.907655719451,-0.577564526041465,-0.1294759131116575,0.0,0.09612753316104282,2.168631331354439,0.0,305.092344280549,0.09825304370552504,0.05,2,196659.76678252566
0,12_16,0.0,1505.577926922466,0.0,0.0,0.0,0.170623519761503,12.71371455683429,0.001992581422719772,0.0,0.0,0.0333,3,196659.35880095276
1,12_24,0.0,451.7908629435653,0.0,0.0,0.0,0.3061211149487938,13.48797095247703,0.0,0.0,0.0,0.05,3,196659.35880095276
2,13_16,0.1449531845470483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.04,0.1449531845470483,10.0,3,196659.35880095276
3,13_23,14.11207119100188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,14.11207119100188,10.0,3,196659.35880095276
4,13_24,0.1421594437479023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.58,0.1421594437479023,10.0,3,196659.35880095276
5,14_12,0.1249215897700089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1505.577926922466,0.1249215897700089,10.0,3,196659.35880095276
6,14_16,8.828781520873171,0.0,-3.1,-2.748634456261951,-2.741197186084044,0.0,0.0,0.0,1494.422073077534,8.828781520873171,10.0,3,196659.35880095276
7,14_23,14.06051426082304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,14.06051426082304,10.0,3,196659.35880095276
8,16_24,8.792275803989552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,8.792275803989552,10.0,3,196659.35880095276
9,1_24,0.4827905247347195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.4827905247347195,10.0,3,196659.35880095276
10,23_12,5.320698373092083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,451.7908629435653,5.320698373092083,10.0,3,196659.35880095276
11,23_13,14.11207119100188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,14.11207119100188,10.0,3,196659.35880095276
12,23_14,14.06051426082304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,14.06051426082304,10.0,3,196659.35880095276
13,23_24,14.02400854393942,0.0,-3.1,-4.307202563181825,-4.500640034135025,0.0,0.0,0.0,548.2091370564348,14.02400854393942,10.0,3,196659.35880095276
14,23_9,5.333485640209898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,5.333485640209898,10.0,3,196659.35880095276
