index,u,qpt,Upt,Uc,Um,WT,phi,Ipt,qc,ttc,ttpt,budget,objective
12_16,0.0,997.6830628693336,0.0,0.0,0.0,0.1411656176464213,4.669500274820127,70.27877950810901,0.0,0.0,0.0333,1000000,1970.7207671193444
12_24,0.0,941.1358099662019,0.0,0.0,0.0,0.5474637263945735,261.1327216146482,551.6140359372226,0.0,0.0,0.05,1000000,1970.7207671193444
13_16,0.04811836603200025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.04,0.04811836603200025,10.0,1000000,1970.7207671193444
13_23,0.285194993791742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.9,0.285194993791742,10.0,1000000,1970.7207671193444
13_24,0.02043030468585412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.58,0.02043030468585412,10.0,1000000,1970.7207671193444
14_12,0.02144283617101932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,997.6830628693336,0.02144283617101932,10.0,1000000,1970.7207671193444
14_16,0.0999476111123951,0.0,-3.1,-0.1299842833337185,5.935205359704222,0.0,0.0,0.0,2.316937130667044,0.0999476111123951,10.0,1000000,1970.7207671193444
14_23,0.2768902936088616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,584.14,0.2768902936088616,10.0,1000000,1970.7207671193444
16_24,0.099984466884765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.45,0.099984466884765,10.0,1000000,1970.7207671193444
1_24,0.1050589445449315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.1050589445449315,10.0,1000000,1970.7207671193444
23_12,0.2228125716592579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,941.1358099662019,0.2228125716592579,10.0,1000000,1970.7207671193444
23_13,0.285194993791742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,370.59,0.285194993791742,10.0,1000000,1970.7207671193444
23_14,0.2768902936088617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.2768902936088617,10.0,1000000,1970.7207671193444
23_24,0.2769271509050391,0.0,-3.1,-0.1830781452715117,2.58877638222318,0.0,0.0,0.0,58.86419003379813,0.2769271509050391,10.0,1000000,1970.7207671193444
23_9,0.2348762156802096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.2348762156802096,10.0,1000000,1970.7207671193444
24_16,0.099984466884765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.06,0.099984466884765,10.0,1000000,1970.7207671193444
24_23,0.2769271509053051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,376.39,0.2769271509053051,10.0,1000000,1970.7207671193444
3_13,0.06696252006628164,903.8887232749165,2.121110850344243,-0.1200887560198845,0.0,0.4457936395560017,209.2829456068892,442.314480636588,96.11127672508348,0.06696252006628164,0.0667,1000000,1970.7207671193444
3_16,0.1079703331277794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.1079703331277794,10.0,1000000,1970.7207671193444
3_23,0.3450469608875212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,356.3,0.3450469608875212,10.0,1000000,1970.7207671193444
3_24,0.08028227178163326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.08028227178163326,10.0,1000000,1970.7207671193444
8_24,0.08694895593556531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.2,0.08694895593556531,10.0,1000000,1970.7207671193444
9_13,0.03225248635718998,378.8815491252349,1.030778875374337,-0.109675745907157,0.0,0.1868625865064398,8.411220593311374,28.8408176991905,121.1184508747651,0.03225248635718998,0.05,1000000,1970.7207671193444
