index,X,t
1,65.84,0.00833336913467185
2,65.84,0.014333337181977225
3,58.2,0.00666668415393205
4,2597.039767195031,0.02035006636927929
5,0.0,0.01333333333333333
6,2597.039767195031,0.01265004125657902
7,858.9954449794794,0.003527229064868261
8,3426.235677784451,0.00416688051975058
9,0.0,0.003
10,2333.440938299165,0.002817591258756737
11,1219.056616083617,0.008252506279989665
12,1047.4,0.001830954516296978
13,2693.608613777747,0.02382913305454387
14,2150.069552076911,0.005301589517751379
15,2515.32,0.01002131684550421
16,2515.32,0.01375474861147638
17,390.9895096239239,0.00875057681705877
18,1404.579061700835,0.009711563616036
19,1226.290447923088,0.01204364935729485
20,0.0,0.013666666666666667
21,35.98567778445197,0.01166666666666667
22,0.0,0.0028
23,0.0,0.0052499999999999995
24,0.0,0.015
25,0.0,0.00625
26,0.0,0.006333333333333333
27,0.0,0.01265
28,0.0,0.0205
29,0.0,0.013333333333333334
30,0.0,0.013333333333333334
