index,u,qpt,Upt,Uc,Um,WT,phi,Ipt,qc,ttc,ttpt,budget,objective
12_16,0.0,999.6318876830999,0.0,0.0,0.0,0.1412786494856198,4.688748288256276,88.74072585033801,0.0,0.0,0.0333,10000000,2563.648579172711
12_24,0.0,999.6318876831001,0.0,0.0,0.0,0.5763137150200378,369.5474786108573,819.9155697787302,0.0,0.0,0.05,10000000,2563.648579172711
13_16,0.05539932679369861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.04,0.05539932679369861,10.0,10000000,2563.648579172711
13_23,0.3584783644081467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.9,0.3584783644081467,10.0,10000000,2563.648579172711
13_24,0.0199936884700648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.58,0.0199936884700648,10.0,10000000,2563.648579172711
14_12,0.02092181898088731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.6318876830999,0.02092181898088731,10.0,10000000,2563.648579172711
14_16,0.09693830156472172,0.0,-3.1,-0.1290814904694165,7.777672786842595,0.0,0.0,0.0,0.3681123168991007,0.09693830156472172,10.0,10000000,2563.648579172711
14_23,0.3505267645357686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,584.14,0.3505267645357686,10.0,10000000,2563.648579172711
16_24,0.09689164295581586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.45,0.09689164295581586,10.0,10000000,2563.648579172711
1_24,0.1001111188939352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.1001111188939352,10.0,10000000,2563.648579172711
23_12,0.3085229855387245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.6318876831001,0.3085229855387245,10.0,10000000,2563.648579172711
23_13,0.3584783644081467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,370.59,0.3584783644081467,10.0,10000000,2563.648579172711
23_14,0.3505267645357687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.3505267645357687,10.0,10000000,2563.648579172711
23_24,0.3504801059269251,0.0,-3.1,-0.2051440317780776,7.701610245533933,0.0,0.0,0.0,0.3681123168955764,0.3504801059269251,10.0,10000000,2563.648579172711
23_9,0.322860858133432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.322860858133432,10.0,10000000,2563.648579172711
24_16,0.09689164295581586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.06,0.09689164295581586,10.0,10000000,2563.648579172711
24_23,0.3504801059269251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,376.39,0.3504801059269251,10.0,10000000,2563.648579172711
3_13,0.06238356942524638,999.6318876831001,7.788039206484437,-0.1187150708275739,0.0,0.4930137150200378,369.5474786108573,819.654490431619,0.3681123168955764,0.06238356942524638,0.0667,10000000,2563.648579172711
3_16,0.1107400844542707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.1107400844542707,10.0,10000000,2563.648579172711
3_23,0.4138191220687188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,356.3,0.4138191220687188,10.0,10000000,2563.648579172711
3_24,0.07533444613063693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.07533444613063693,10.0,10000000,2563.648579172711
8_24,0.08200113028456898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.2,0.08200113028456898,10.0,10000000,2563.648579172711
9_13,0.03364623422801376,999.6318876831001,7.796660407043607,-0.1100938702684041,0.0,0.4930137150200378,369.5474786108573,819.6906024372107,0.3681123168998965,0.03364623422801376,0.05,10000000,2563.648579172711
