index,u,qpt,Upt,Uc,Um,WT,phi,Ipt,qc,ttc,ttpt,budget,objective
12_16,0.0,2800.96566834303,0.0,0.0,0.0,0.2457560087638957,129.4832205841378,270.5154963568435,0.0,0.0,0.0333,1000000,138862.13812100783
12_24,0.0,835.2224019631111,0.0,0.0,0.0,0.4952277349326941,139.0702931196568,280.0203565226336,0.0,0.0,0.05,1000000,138862.13812100783
13_16,0.143084443213621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.04,0.143084443213621,10.0,1000000,138862.13812100783
13_23,10.77051035153793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,10.77051035153793,10.0,1000000,138862.13812100783
13_24,0.1662260960528825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.58,0.1662260960528825,10.0,1000000,138862.13812100783
14_12,0.1827177267794942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2800.96566834303,0.1827177267794942,10.0,1000000,138862.13812100783
14_16,5.426229297762826,0.0,-3.1,-1.727868789328848,0.9163733981937832,0.0,0.0,0.0,199.0343316569703,5.426229297762826,10.0,1000000,138862.13812100783
14_23,10.6899803681515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,10.6899803681515,10.0,1000000,138862.13812100783
16_24,5.384817179976594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,5.384817179976594,10.0,1000000,138862.13812100783
1_24,0.4819639851983634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.4819639851983634,10.0,1000000,138862.13812100783
23_12,5.319592726375197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,835.2224019631111,5.319592726375197,10.0,1000000,138862.13812100783
23_13,10.77051035153793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,10.77051035153793,10.0,1000000,138862.13812100783
23_14,10.6899803681515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,10.6899803681515,10.0,1000000,138862.13812100783
23_24,10.64856825036527,0.0,-3.1,-3.294570475109579,-1.671469110060372,0.0,0.0,0.0,164.7775980368889,10.64856825036527,10.0,1000000,138862.13812100783
23_9,5.332261912361296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,5.332261912361296,10.0,1000000,138862.13812100783
24_16,5.384817179976594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,5.384817179976594,10.0,1000000,138862.13812100783
24_23,10.64856825036526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,10.64856825036526,10.0,1000000,138862.13812100783
3_13,0.3265703258036681,420.1539387320305,-0.5201125895310965,-0.1979710977411004,0.0,0.2072179336882529,11.01454477798966,18.64971746173311,579.8460612679695,0.3265703258036681,0.0667,1000000,138862.13812100783
3_16,0.4340456595958036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.4340456595958036,10.0,1000000,138862.13812100783
3_23,11.06147156792012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,11.06147156792012,10.0,1000000,138862.13812100783
3_24,0.4571873124350651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.4571873124350651,10.0,1000000,138862.13812100783
8_24,0.4638539965889972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.2,0.4638539965889972,10.0,1000000,138862.13812100783
9_13,0.1215987860659636,217.0100550916335,-0.4019473131779337,-0.1364796358197891,0.0,0.1070283319046606,2.611355426292645,2.674322716519934,282.9899449083665,0.1215987860659636,0.05,1000000,138862.13812100783
