index,X,t
1,65.84,0.00833336913467185
2,65.84,0.014333337181977225
3,58.2,0.00666668415393205
4,608.2041701453725,0.0123574433994067
5,36.00132223746707,0.01333333333333333
6,644.2054923828396,0.007685532829723504
7,870.1754923828394,0.003528674554012013
8,1390.25,0.003031632176274148
9,0.0,0.003
10,1333.533921651031,0.002623207364234163
11,183.1639216510304,0.008
12,1047.4,0.001830954516296978
13,2683.70921518143,0.02368049657160046
14,1140.263136832463,0.005023857569692859
15,2595.05,0.01050608706238425
16,2595.05,0.01442011949739015
17,480.4329415165049,0.008751315756021843
18,404.4860783489699,0.009203517615975518
19,315.8268631675361,0.01166832528146055
20,0.0,0.013666666666666667
21,79.72999999999993,0.0116667744508579
22,0.0,0.0028
23,0.0,0.0052499999999999995
24,0.0,0.015
25,0.0,0.00625
26,0.0,0.006333333333333333
27,0.0,0.01265
28,0.0,0.0205
29,0.0,0.013333333333333334
30,0.0,0.013333333333333334
