index,X,t
1,65.84,0.00833336913467185
2,65.84,0.014333337181977225
3,58.2,0.00666668415393205
4,1298.38744688738,0.01283417325609897
5,715.7745367512905,0.01413347140673553
6,2014.16198363867,0.009469623788347082
7,2240.13198363867,0.004759400061109102
8,1390.25,0.003031632176274148
9,0.0,0.003
10,3737.302365953849,0.004031668579244088
11,2586.93236595385,0.01311954687101007
12,3984.14,0.008280553601702219
13,5355.988298926621,0.1735184696842197
14,3279.570664880469,0.006632578899388986
15,5355.05,0.08128426718058862
16,5355.05,0.1115666412282591
17,1634.096969165681,0.008926098458118738
18,937.4576340461508,0.009301530299228368
19,936.5193351195306,0.01179490416015845
20,0.0,0.013666666666666667
21,79.72999999998723,0.0116667744508579
22,0.0,0.0028
23,0.0,0.0052499999999999995
24,0.0,0.015
25,0.0,0.00625
26,0.0,0.006333333333333333
27,0.0,0.01265
28,0.0,0.0205
29,0.0,0.013333333333333334
30,0.0,0.013333333333333334
