level_0,OD,u,qpt,Upt,Uc,Um,WT,phi,Ipt,qc,ttc,ttpt,budget,objective
0,12_16,0.0,446.8561411728811,0.0,0.0,0.0,0.09261765618802709,1.175244593682296,0.0,0.0,0.0,0.0167,0,2301.5322070028997
1,12_16b,0.0,42.3123159939286,0.0,0.0,0.0,0.06915411432764786,0.07636178486229173,0.0,0.0,0.0,0.0167,0,2301.5322070028997
2,12_24,0.0,286.4501075514497,0.0,0.0,0.0,0.2079758370675345,4.446488290364002,0.0,0.0,0.0,0.0333,0,2301.5322070028997
3,13_16,0.0468556331177451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.04,0.0468556331177451,10.0,0,2301.5322070028997
4,13_23,0.3308160358922793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.9,0.3308160358922793,10.0,0,2301.5322070028997
5,13_24,0.02408234172019194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.58,0.02408234172019194,10.0,0,2301.5322070028997
6,14_12,0.02098969893034532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,446.8561411728811,0.02098969893034532,10.0,0,2301.5322070028997
7,14_16,0.2025324200764453,0.0,-3.1,-0.1607597260229336,-0.3741411252719725,0.0,0.0,0.0,553.143858827119,0.2025324200764453,10.0,0,2301.5322070028997
8,14_23,0.3201834748547898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,584.14,0.3201834748547898,10.0,0,2301.5322070028997
9,16_24,0.2038934535526176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.45,0.2038934535526176,10.0,0,2301.5322070028997
10,1_24,0.1470716193901679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.1470716193901679,10.0,0,2301.5322070028997
11,23_12,0.1582364260252193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,286.4501075514497,0.1582364260252193,10.0,0,2301.5322070028997
12,23_13,0.3308160358922793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,370.59,0.3308160358922793,10.0,0,2301.5322070028997
13,23_14,0.3201834748547899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.3201834748547899,10.0,0,2301.5322070028997
14,23_24,0.321544508330962,0.0,-3.1,-0.1964633524992886,-1.109151337000627,0.0,0.0,0.0,713.5498924485503,0.321544508330962,10.0,0,2301.5322070028997
15,23_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,10.0,0,2301.5322070028997
16,24_12,0.02235073240651752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.3123159939286,0.02235073240651752,10.0,0,2301.5322070028997
17,24_16,0.2038934535526175,0.0,-3.1,-0.1611680360657853,-0.1477338109927036,0.0,0.0,0.0,41.74768400607186,0.2038934535526175,10.0,0,2301.5322070028997
18,24_23,0.321544508330962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,376.39,0.321544508330962,10.0,0,2301.5322070028997
19,3_13,0.1077151119267681,286.7401080173828,-1.043584133934509,-0.1323145335780304,0.0,0.1414188639245494,4.455842373785719,0.0,713.2598919826172,0.1077151119267681,0.0333,0,2301.5322070028997
20,3_16,0.1450682380244228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.1450682380244228,10.0,0,2301.5322070028997
21,3_23,0.4290286407989569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,356.3,0.4290286407989569,10.0,0,2301.5322070028997
22,3_24,0.1222949466268696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.1222949466268696,10.0,0,2301.5322070028997
23,8_24,0.1289616307808017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.2,0.1289616307808017,10.0,0,2301.5322070028997
24,9_13,0.03620218053436853,284.8693567224096,-1.031295220327014,-0.1108606541603106,0.0,0.1404962182414961,4.395781774272828,0.0,715.1306432775904,0.03620218053436853,0.0333,0,2301.5322070028997
