index,u,qpt,Upt,Uc,Um,WT,phi,Ipt,qc,ttc,ttpt,budget,objective
12_16,0.0,63.26,0.0,0.0,0.0,0.08696908,0.1162974841593458,372.7213567889249,0.0,0.0,0.0333,10000000,574.5538098161095
12_24,0.0,239.9997403939222,0.0,0.0,0.0,0.2016667358688368,3.13760371336546,144.3111941645629,0.0,0.0,0.05,10000000,574.5538098161095
13_16,0.03656868316271002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.04,0.03656868316271002,10.0,10000000,574.5538098161095
13_23,0.1072316603926966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.9,0.1072316603926966,10.0,10000000,574.5538098161095
13_24,0.01643182734637596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.58,0.01643182734637596,10.0,10000000,574.5538098161095
14_12,0.01333720419742019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.26,0.01333720419742019,10.0,10000000,574.5538098161095
14_16,0.06459514424423338,0.0,-3.1,-0.11937854327327,37.1087942968014,0.0,0.0,0.0,0.0,0.06459514424423338,10.0,10000000,574.5538098161095
14_23,0.0978640958642415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,584.14,0.0978640958642415,10.0,10000000,574.5538098161095
16_24,0.06799749802956025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.45,0.06799749802956025,10.0,10000000,574.5538098161095
1_24,0.06827744037952667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.84,0.06827744037952667,10.0,10000000,574.5538098161095
23_12,0.07165194974870487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,239.9997403939222,0.07165194974870487,10.0,10000000,574.5538098161095
23_13,0.1072316603926966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,370.59,0.1072316603926966,10.0,10000000,574.5538098161095
23_14,0.0978640958642415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0978640958642415,10.0,10000000,574.5538098161095
23_24,0.1012664496495684,0.0,-3.1,-0.1303799348948705,13.60660306809794,0.0,0.0,0.0,0.0002596060777761977,0.1012664496495684,10.0,10000000,574.5538098161095
23_9,0.08331861641537155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.73,0.08331861641537155,10.0,10000000,574.5538098161095
24_16,0.06799749802956025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.06,0.06799749802956025,10.0,10000000,574.5538098161095
24_23,0.1012664496495684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,376.39,0.1012664496495684,10.0,10000000,574.5538098161095
3_13,0.03622968397650793,1050.899694319701,14.93950380074854,-0.1108689051929524,0.0,0.5182987545653672,500.8701327547728,1153.890299780727,0.0003056802986520779,0.03622968397650793,0.0667,10000000,574.5538098161095
3_16,0.06574758987921166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.9,0.06574758987921166,10.0,10000000,574.5538098161095
3_23,0.1364105671091983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1356.3,0.1364105671091983,10.0,10000000,574.5538098161095
3_24,0.04561073406287759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1050.9,0.04561073406287759,10.0,10000000,574.5538098161095
8_24,0.05227741821680964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.2,0.05227741821680964,10.0,10000000,574.5538098161095
9_13,0.0273589366520218,34.01302467639373,-0.1646212092002009,-0.1082076809956065,0.0,0.01677506276199655,0.2229434518580133,0.0,35.98697532360627,0.0273589366520218,0.05,10000000,574.5538098161095
