index,u,qpt,Upt,Uc,Um,WT,phi,Ipt,qc,ttc,ttpt,budget,objective
12_16,0.0,1986.588579817427,0.0,0.0,0.0,0.1985221376294108,30.65628352724998,110.4461006940746,0.0,0.0,0.0333,1000000,19223.986065217206
12_24,0.0,863.9403775712616,0.0,0.0,0.0,0.5093913045595542,165.0141855899583,327.2907330188862,0.0,0.0,0.05,1000000,19223.986065217206
13_16,0.1289096844686186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.04,0.1289096844686186,10.0,1000000,19223.986065217206
13_23,1.473457360938322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.9,1.473457360938322,10.0,1000000,19223.986065217206
13_24,0.0824582657699269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.58,0.0824582657699269,10.0,1000000,19223.986065217206
14_12,0.1263356606652583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1986.588579817427,0.1263356606652583,10.0,1000000,19223.986065217206
14_16,0.64053848087381,0.0,-3.1,-0.292161544262143,4.705906024469063,0.0,0.0,0.0,13.41142018257258,0.64053848087381,10.0,1000000,19223.986065217206
14_23,1.464864599762553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,584.14,1.464864599762553,10.0,1000000,19223.986065217206
16_24,0.614132149505313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.45,0.614132149505313,10.0,1000000,19223.986065217206
1_24,1.048795672888367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,1.048795672888367,10.0,1000000,19223.986065217206
23_12,0.8792453216820804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,863.9403775712616,0.8792453216820804,10.0,1000000,19223.986065217206
23_13,1.473457360938322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,370.59,1.473457360938322,10.0,1000000,19223.986065217206
23_14,1.464864599762554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,1.464864599762554,10.0,1000000,19223.986065217206
23_24,1.438458268405452,0.0,-3.1,-0.5315374805216355,-0.8053548039755439,0.0,0.0,0.0,1136.059622428739,1.438458268405452,10.0,1000000,19223.986065217206
23_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,10.0,1000000,19223.986065217206
24_16,0.614132149505313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.06,0.614132149505313,10.0,1000000,19223.986065217206
24_23,1.438458268405452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,376.39,1.438458268405452,10.0,1000000,19223.986065217206
3_13,0.9197588361908373,934.0469681774301,-0.5080254703160365,-0.3759276508572512,0.0,0.4606675431809988,250.3647664936907,498.231380913764,1065.95303182257,0.9197588361908373,0.0667,1000000,19223.986065217206
3_16,1.038820327374286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,1.038820327374286,10.0,1000000,19223.986065217206
3_23,2.38336800384399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,356.3,2.38336800384399,10.0,1000000,19223.986065217206
3_24,0.9923689086755947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.9923689086755947,10.0,1000000,19223.986065217206
8_24,0.9990355928295267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.2,0.9990355928295267,10.0,1000000,19223.986065217206
9_13,0.1033435150820544,564.0334315615589,0.1265449085194169,-0.1310030545246163,0.0,0.2781786184654197,27.14798936837446,57.5459636773392,435.9665684384411,0.1033435150820544,0.05,1000000,19223.986065217206
